Annotation,Location
+,3
V,42
N,320
V,511
N,749
N,964
V,1107
N,1383
V,1574
N,1819
N,2035
V,2173
N,2449
N,2671
N,2884
V,3013
N,3307
N,3521
N,3729
N,3943
N,4160
N,4375
V,4521
N,4796
V,4954
N,5218
N,5439
A,5582
V,5765
N,6044
N,6253
N,6464
N,6680
N,6891
N,7100
N,7310
A,7475
N,7710
N,7925
V,8071
N,8346
N,8557
N,8766
V,8917
N,9190
N,9400
N,9604
N,9813
+,9923
V,9983
V,10223
V,10354
+,10577
N,10648
V,10829
N,11057
N,11268
V,11415
N,11692
V,11882
N,12107
N,12314
V,12462
N,12735
V,12931
N,13155
N,13363
N,13564
V,13742
N,13980
N,14186
V,14332
N,14591
V,14790
N,14999
N,15205
N,15412
V,15598
V,15717
N,16022
V,16169
N,16442
N,16647
N,16851
N,17052
N,17255
V,17397
N,17665
N,17874
N,18076
V,18221
N,18479
N,18686
N,18896
N,19099
N,19303
V,19443
N,19706
N,19910
N,20119
V,20290
N,20525
N,20732
V,20873
N,21140
N,21351
N,21555
N,21762
N,21965
N,22170
V,22304
N,22579
V,22769
N,22991
N,23196
V,23333
N,23602
V,23754
N,24014
N,24219
N,24425
N,24632
N,24832
V,24994
N,25248
N,25453
V,25596
N,25856
V,26050
N,26280
N,26488
V,26632
N,26896
N,27103
N,27308
V,27462
N,27728
N,27934
N,28134
+,28214
V,28295
N,28543
N,28755
V,28900
N,29156
N,29317
V,29430
+,29581
N,29733
N,29944
N,30152
N,30357
N,30560
N,30761
N,30967
N,31178
N,31380
N,31582
N,31783
V,31909
N,32186
N,32389
N,32588
N,32791
N,32991
V,33120
N,33388
N,33596
N,33796
V,33937
N,34195
N,34394
N,34598
N,34801
N,35003
V,35145
N,35406
N,35605
N,35805
N,36008
N,36211
N,36412
N,36605
V,36740
N,37004
N,37203
N,37402
N,37606
N,37800
N,37999
N,38196
N,38398
N,38601
N,38803
N,39003
N,39204
N,39406
N,39604
N,39809
V,39956
N,40214
N,40420
N,40620
N,40829
N,41037
N,41240
N,41443
V,41645
N,41855
N,42057
N,42269
N,42481
V,42618
N,42893
V,43075
N,43315
N,43526
V,43669
N,43931
V,44125
N,44351
N,44557
+,44623
V,44689
N,44981
V,45107
N,45391
V,45532
N,45822
V,45988
+,46117
N,46246
N,46451
V,46594
N,46858
A,47012
N,47261
N,47477
+,47552
V,47627
N,47891
V,48080
N,48313
V,48463
N,48725
V,48863
+,48999
N,49136
N,49344
N,49555
V,49716
N,49969
N,50180
+,50249
V,50318
N,50592
V,50721
N,51019
V,51171
N,51436
V,51601
+,51730
N,51860
N,52077
+,52144
V,52212
N,52498
V,52642
N,52919
V,53071
N,53349
V,53514
V,53650
N,53968
V,54117
+,54255
N,54394
N,54611
V,54756
N,55032
V,55178
N,55459
N,55679
+,55751
V,55823
N,56098
V,56248
N,56525
V,56673
+,56799
N,56925
N,57145
V,57294
N,57561
V,57755
N,57990
N,58207
+,58276
V,58345
N,58624
V,58771
N,59054
V,59202
N,59480
V,59649
+,59779
N,59909
N,60119
V,60265
N,60554
F,60768
V,60892
N,61190
N,61403
N,61610
V,61754
N,62029
N,62237
V,62386
N,62648
N,62865
V,63019
N,63287
V,63430
N,63701
N,63917
N,64121
N,64332
N,64546
N,64752
V,64897
N,65159
V,65353
N,65577
N,65786
N,65986
V,66147
N,66396
N,66598
N,66805
V,66932
N,67140
N,67382
N,67590
N,67800
N,68010
N,68218
V,68359
N,68622
V,68780
N,69036
N,69250
V,69396
N,69664
V,69811
N,70079
N,70288
V,70427
N,70710
V,70897
N,71123
N,71334
N,71540
V,71709
N,71955
N,72160
N,72365
V,72548
N,72784
N,72994
V,73139
N,73407
V,73555
N,73806
N,74021
N,74233
N,74449
N,74658
N,74865
N,75076
N,75291
N,75499
N,75703
V,75809
N,76118
V,76287
N,76542
N,76758
+,76831
V,76905
N,77179
V,77319
N,77604
V,77754
+,77895
N,78036
N,78247
N,78455
N,78671
N,78881
N,79093
N,79310
N,79515
V,79693
V,79847
N,80144
N,80361
V,80538
F,80775
N,80982
V,81133
F,81396
N,81612
N,81823
N,82034
V,82212
V,82375
N,82663
N,82873
N,83083
N,83290
N,83500
N,83707
N,83916
N,84128
V,84284
V,84525
N,84745
N,84956
N,85167
N,85372
V,85507
N,85779
N,85991
N,86197
N,86411
N,86625
N,86829
N,87036
V,87175
N,87455
V,87627
N,87879
N,88085
V,88225
N,88496
V,88637
N,88920
N,89132
N,89342
N,89549
N,89763
N,89980
N,90188
N,90399
N,90611
N,90824
N,91028
N,91243
N,91460
N,91666
N,91873
V,92015
N,92291
F,92498
N,92716
N,92921
N,93130
V,93293
V,93421
N,93750
V,93915
N,94180
N,94390
N,94599
N,94817
N,95031
V,95177
N,95452
N,95665
V,95798
N,96091
N,96309
N,96524
N,96738
N,96945
V,97087
N,97374
N,97589
N,97798
N,98011
N,98224
V,98366
N,98646
N,98864
N,99078
N,99290
N,99501
N,99714
V,99864
N,100139
N,100349
N,100559
V,100690
N,100986
V,101151
N,101412
N,101626
N,101836
F,102038
N,102268
N,102479
N,102691
N,102905
V,103044
N,103326
N,103547
N,103770
V,103910
N,104195
V,104352
N,104630
N,104850
N,105067
N,105276
N,105485
V,105630
N,105909
N,106125
N,106338
N,106549
N,106758
V,106900
N,107187
N,107399
N,107610
V,107737
N,108033
N,108246
N,108461
V,108611
N,108886
N,109102
N,109312
+,109386
V,109461
N,109747
V,109900
N,110171
V,110316
N,110601
V,110768
+,110905
N,111043
N,111263
N,111481
N,111692
N,111912
V,112048
N,112351
N,112565
N,112779
+,112845
V,112912
N,113210
V,113366
N,113649
V,113775
N,114073
V,114238
+,114373
N,114509
N,114725
N,114937
N,115150
N,115366
V,115508
N,115793
N,116014
N,116227
V,116356
N,116655
N,116880
N,117093
V,117225
N,117509
N,117721
N,117933
V,118064
N,118362
N,118576
N,118789
V,118916
N,119215
N,119439
N,119655
V,119799
N,120079
N,120298
N,120513
V,120658
N,120949
N,121168
N,121379
V,121570
N,121815
N,122031
N,122243
V,122430
N,122667
V,122826
V,122979
N,123311
N,123530
N,123742
N,123956
N,124176
V,124323
N,124608
N,124823
N,125042
V,125186
N,125476
N,125701
N,125920
V,126064
N,126351
N,126570
N,126790
N,127009
N,127218
V,127362
N,127643
N,127860
N,128074
V,128223
N,128506
N,128720
N,128932
V,129083
N,129369
N,129589
N,129799
V,129942
N,130219
N,130435
N,130654
V,130796
N,131076
N,131287
N,131503
V,131656
N,131926
N,132133
N,132340
V,132470
N,132761
N,132978
N,133192
V,133335
N,133610
N,133826
N,134047
V,134193
N,134471
N,134683
N,134896
V,135043
N,135325
N,135546
N,135757
V,135889
N,136179
N,136401
N,136619
V,136748
N,137040
N,137255
N,137472
V,137614
N,137898
N,138120
N,138334
V,138459
N,138761
N,138988
N,139201
V,139330
N,139628
N,139844
N,140056
V,140188
N,140485
N,140700
N,140910
V,141049
N,141337
N,141558
N,141770
V,141909
N,142185
N,142401
N,142614
V,142756
N,143043
N,143260
N,143471
V,143617
N,143910
N,144131
N,144343
N,144557
N,144773
V,144944
N,145202
N,145425
N,145638
N,145851
V,145995
N,146281
V,146490
V,146626
N,146935
V,147088
N,147372
V,147578
N,147818
N,148036
V,148168
N,148466
V,148670
N,148908
N,149127
N,149339
V,149536
N,149766
N,149985
V,150166
V,150331
N,150628
V,150782
N,151064
N,151290
N,151506
V,151702
N,151939
N,152158
N,152369
N,152584
V,152738
N,153005
N,153216
N,153428
V,153631
V,153769
N,154062
V,154211
N,154489
N,154699
N,154910
N,155129
N,155339
N,155550
N,155758
N,155973
N,156190
N,156399
N,156602
N,156808
N,157022
N,157230
N,157437
N,157646
N,157851
V,158036
N,158255
N,158470
V,158614
N,158885
N,159088
N,159298
N,159509
N,159722
V,159851
N,160142
N,160357
N,160560
N,160771
N,160986
V,161114
N,161401
F,161595
N,161818
N,162026
N,162239
V,162424
F,162653
N,162876
N,163086
N,163304
N,163521
N,163740
V,163881
N,164159
V,164338
N,164596
N,164818
N,165035
N,165249
