Annotation,Location
+,18
N,95
N,253
N,478
N,673
N,873
N,1076
N,1272
N,1466
N,1655
N,1849
N,2047
N,2236
N,2433
N,2632
N,2832
N,3021
N,3219
N,3408
N,3603
N,3806
N,4007
N,4200
N,4401
N,4592
N,4785
N,4976
N,5172
N,5374
N,5571
N,5771
N,5963
N,6156
N,6347
N,6543
N,6742
N,6941
N,7134
N,7333
N,7522
N,7715
N,7914
N,8107
N,8302
N,8497
N,8699
N,8898
N,9095
N,9284
N,9481
N,9681
N,9882
N,10074
N,10273
N,10462
N,10656
N,10850
N,11042
N,11236
N,11433
N,11636
N,11827
N,12021
N,12214
N,12409
N,12606
N,12808
N,13005
N,13203
N,13391
N,13585
N,13781
N,13978
N,14173
N,14369
N,14568
N,14763
N,14957
N,15146
N,15339
N,15536
N,15736
N,15929
N,16127
N,16320
N,16512
N,16706
N,16905
N,17095
N,17296
N,17499
N,17695
N,17886
N,18080
N,18272
N,18471
N,18671
N,18866
N,19061
N,19253
N,19446
N,19636
N,19834
N,20026
N,20222
N,20418
N,20615
N,20809
N,21004
N,21192
N,21387
N,21591
F,21791
N,21990
N,22184
N,22374
N,22571
A,22728
N,22953
N,23154
N,23350
N,23554
N,23744
N,23936
N,24127
N,24328
N,24526
N,24725
N,24920
N,25116
N,25305
N,25498
N,25696
N,25894
N,26092
N,26288
N,26486
N,26680
N,26881
N,27069
N,27262
N,27461
N,27662
N,27855
N,28050
N,28241
N,28435
N,28629
N,28825
N,29020
N,29216
N,29417
N,29617
N,29813
N,30006
N,30206
N,30406
N,30610
N,30801
N,31003
N,31194
N,31389
N,31586
N,31782
N,31977
N,32177
N,32378
N,32569
N,32764
N,32960
N,33153
N,33348
N,33549
N,33748
N,33945
N,34135
N,34334
N,34530
N,34727
N,34927
N,35123
N,35323
N,35522
N,35720
N,35912
N,36105
N,36304
N,36506
N,36697
N,36899
N,37087
N,37283
N,37477
N,37676
N,37871
N,38069
N,38267
N,38466
N,38661
N,38856
N,39049
N,39249
N,39447
N,39643
F,39843
N,40036
N,40230
N,40421
N,40621
N,40811
N,41006
N,41206
N,41402
N,41595
N,41790
N,41981
N,42178
N,42380
F,42582
N,42777
F,42969
N,43165
F,43362
N,43560
V,43751
N,43953
F,44159
N,44355
F,44550
N,44747
F,44939
N,45135
N,45333
N,45530
F,45729
N,45921
F,46122
N,46306
F,46507
N,46701
F,46904
N,47101
F,47296
N,47489
F,47683
N,47876
F,48073
N,48270
F,48469
N,48666
F,48861
N,49052
F,49243
N,49444
F,49631
N,49831
V,49998
N,50232
F,50423
N,50618
F,50815
N,51010
F,51210
N,51409
N,51604
N,51800
N,51994
N,52189
N,52384
N,52574
N,52776
N,52973
F,53173
N,53362
F,53560
N,53750
+,53845
V,53940
N,54141
V,54341
N,54535
V,54720
+,54821
N,54923
F,55114
N,55310
N,55505
N,55701
F,55894
N,56098
F,56290
N,56484
F,56676
N,56870
F,57069
N,57268
V,57445
N,57659
F,57848
N,58040
F,58238
N,58426
F,58625
N,58822
F,59024
N,59212
F,59408
N,59602
F,59796
N,59995
V,60165
N,60396
V,60594
N,60784
F,60982
N,61176
F,61371
N,61569
N,61767
N,61966
N,62158
N,62355
N,62548
N,62742
F,62939
N,63142
V,63318
N,63537
N,63727
N,63921
F,64118
N,64310
F,64503
N,64706
F,64906
N,65101
F,65296
N,65487
F,65685
N,65884
F,66084
N,66279
N,66479
N,66666
N,66860
N,67050
F,67243
N,67438
V,67635
N,67833
V,68030
N,68230
F,68422
N,68614
F,68815
N,69020
F,69215
N,69411
F,69603
N,69804
N,69999
N,70194
N,70388
N,70590
F,70787
N,70985
V,71178
N,71371
V,71534
N,71764
F,71965
N,72160
F,72362
N,72555
F,72748
N,72942
F,73141
N,73335
F,73536
N,73737
F,73938
N,74131
F,74330
N,74526
F,74721
N,74923
F,75122
N,75322
F,75512
N,75703
V,75896
N,76100
F,76291
N,76488
N,76687
N,76884
N,77075
N,77274
F,77464
N,77661
V,77867
N,78064
F,78258
N,78456
F,78654
N,78845
F,79043
N,79238
F,79436
N,79632
F,79830
N,80023
F,80218
N,80410
F,80606
N,80802
F,81004
F,81189
N,81394
N,81585
N,81781
N,81981
F,82179
N,82382
F,82579
N,82779
F,82976
N,83170
F,83359
N,83559
F,83758
N,83957
F,84153
N,84350
F,84539
N,84734
F,84933
N,85123
F,85324
N,85524
N,85722
N,85914
N,86113
N,86306
N,86503
N,86707
F,86907
N,87101
V,87301
N,87442
F,87675
N,87884
N,88078
N,88275
N,88468
N,88668
N,88859
N,89051
F,89240
N,89437
F,89637
N,89838
V,90032
N,90231
N,90423
N,90620
N,90822
N,91010
N,91210
N,91410
N,91615
N,91806
F,92003
N,92201
F,92397
N,92591
F,92788
N,92983
V,93152
N,93381
N,93571
N,93768
N,93964
N,94167
N,94362
N,94561
N,94753
N,94952
N,95145
N,95340
N,95537
N,95734
+,95831
V,95929
N,96127
V,96314
N,96508
V,96688
+,96794
N,96900
F,97094
N,97286
N,97491
N,97681
F,97874
N,98068
N,98264
N,98463
N,98663
N,98858
N,99059
N,99250
F,99445
N,99646
V,99823
N,100036
N,100236
N,100436
N,100637
N,100833
N,101024
N,101218
N,101418
N,101618
F,101811
N,102009
V,102185
N,102398
N,102596
N,102791
N,102993
N,103189
N,103392
N,103587
N,103789
N,103977
N,104173
N,104373
N,104583
N,104776
N,104974
N,105166
N,105365
N,105558
F,105750
N,105950
V,106131
N,106350
V,106527
N,106741
F,106940
N,107133
N,107329
N,107533
N,107730
N,107929
F,108119
N,108317
V,108512
N,108707
V,108908
N,109103
N,109303
N,109499
N,109696
N,109885
N,110076
N,110278
N,110480
N,110672
N,110873
N,111062
N,111258
N,111451
V,111630
N,111846
V,112028
N,112251
N,112449
N,112646
N,112845
N,113037
N,113234
N,113437
N,113631
N,113827
N,114019
N,114211
N,114401
N,114596
+,114696
V,114796
N,114993
V,115191
N,115390
V,115590
+,115686
N,115782
N,115973
N,116175
N,116377
N,116575
N,116774
N,116967
F,117159
N,117352
V,117520
N,117746
V,117945
N,118148
N,118344
N,118536
N,118730
N,118924
N,119120
N,119320
N,119515
N,119717
N,119908
N,120102
F,120295
N,120498
V,120663
N,120897
N,121097
N,121299
N,121493
N,121687
N,121883
N,122083
N,122282
N,122480
N,122682
N,122872
N,123066
A,123216
N,123455
N,123649
N,123849
N,124053
N,124250
N,124444
N,124641
N,124834
A,124998
N,125237
N,125439
N,125635
N,125829
N,126024
N,126223
N,126420
N,126615
N,126817
N,127019
N,127213
N,127405
N,127603
N,127794
N,127991
N,128197
N,128396
N,128593
N,128784
N,128981
N,129181
N,129378
A,129520
N,129764
N,129971
N,130166
N,130361
N,130557
N,130748
N,130948
N,131153
N,131350
N,131544
N,131734
N,131932
N,132123
N,132321
N,132518
N,132715
N,132916
N,133114
N,133307
N,133503
N,133697
N,133902
N,134101
N,134296
A,134453
N,134688
N,134888
N,135082
N,135282
N,135475
A,135625
N,135868
N,136065
N,136260
N,136453
N,136648
N,136851
N,137050
N,137246
N,137443
N,137636
N,137831
N,138023
N,138224
N,138418
N,138616
N,138821
N,139016
N,139210
N,139403
N,139599
N,139804
N,140004
N,140198
N,140400
N,140591
N,140786
N,140981
N,141181
N,141374
N,141574
N,141776
N,141970
N,142168
N,142368
N,142561
N,142759
A,142923
N,143162
N,143362
N,143557
N,143752
N,143949
N,144146
