Annotation,Location
+,188
N,300
N,614
N,887
N,1206
N,1417
N,1708
N,1924
N,2207
N,2478
N,2724
N,3011
N,3230
N,3457
N,3864
N,4277
N,4580
N,4903
N,5205
N,5571
N,5847
N,6059
N,6355
N,6687
N,7118
N,7387
N,7800
N,8212
N,8448
N,8730
N,8990
N,9236
N,9542
N,9882
N,10235
N,10532
N,10791
N,11023
N,11277
N,11543
N,11807
N,12147
N,12348
N,12706
N,13013
N,13315
N,13607
V,13863
N,14141
N,14415
N,14642
N,14962
N,15230
N,15578
N,15845
N,16093
N,16362
N,16617
N,16891
N,17195
N,17469
N,17750
N,17992
N,18290
N,18567
N,18792
N,19172
N,19457
N,19825
N,20030
N,20280
N,20653
N,20945
N,21178
N,21597
N,21841
N,22048
N,22299
N,22547
N,22841
N,23054
N,23352
N,23632
N,23879
N,24230
V,24435
N,24748
N,25015
N,25310
N,25515
N,25831
N,26101
N,26440
N,26652
N,26943
N,27173
N,27475
V,27694
N,27987
N,28305
V,28516
N,28783
N,29086
N,29353
N,29596
N,29843
N,30053
N,30378
N,30675
N,30967
N,31185
N,31453
N,31725
N,31980
N,32285
N,32633
N,32993
+,33119
V,33245
N,33567
N,33848
V,34117
N,34413
N,34650
V,34852
N,35214
N,35452
V,35656
N,35906
N,36248
V,36456
+,36627
N,36799
N,37050
N,37354
N,37659
N,37890
N,38182
N,38405
N,38688
N,38943
N,39235
N,39525
N,39748
N,40021
N,40328
N,40641
N,40993
N,41240
N,41498
N,41929
N,42233
N,42449
N,42893
N,43095
N,43421
N,43693
N,44024
N,44248
N,44536
N,44854
N,45196
N,45457
N,45678
N,45900
N,46131
N,46445
N,46786
N,47113
N,47439
N,47658
N,47961
N,48233
N,48509
N,48783
N,49107
N,49364
N,49581
N,49808
N,50130
N,50512
N,50741
N,51108
N,51364
N,51704
N,52018
N,52297
N,52588
N,52956
N,53277
N,53604
N,53843
N,54099
N,54303
N,54632
N,54911
N,55160
N,55427
N,55719
N,55930
N,56300
N,56579
N,56899
N,57153
N,57400
N,57700
N,57936
N,58180
V,58394
N,58665
N,58953
N,59249
N,59629
N,59864
N,60194
N,60462
N,60751
N,61018
N,61350
N,61680
N,61909
N,62207
N,62438
N,62730
N,63025
F,63190
N,63580
N,63905
N,64129
N,64383
N,64696
N,64991
N,65380
N,65656
N,65962
N,66315
N,66548
N,66834
N,67103
N,67420
N,67708
N,67891
N,68209
N,68446
N,68721
N,68970
N,69214
N,69486
N,69779
N,70067
N,70327
N,70589
N,70913
N,71249
N,71561
N,71817
N,72112
N,72457
N,72736
N,73109
N,73322
N,73635
N,73882
N,74122
N,74401
N,74649
N,74935
N,75274
N,75543
N,75808
N,76106
N,76404
N,76691
N,76925
N,77209
N,77486
N,77700
N,77957
N,78233
N,78483
N,78778
V,78980
N,79367
N,79614
N,79858
N,80187
N,80459
N,80725
N,81027
N,81380
N,81756
N,82020
N,82286
N,82514
N,82802
N,83161
V,83369
N,83697
N,83964
N,84280
N,84586
N,84854
N,85074
N,85354
N,85566
N,85890
N,86194
N,86468
N,86693
N,87012
N,87397
N,87668
N,87919
N,88221
N,88505
N,88709
N,89040
N,89311
N,89568
N,89873
N,90189
N,90581
N,90888
N,91230
N,91451
N,91648
N,91860
N,92296
N,92568
N,92777
N,93028
N,93329
N,93612
N,93855
N,94099
N,94305
N,94617
N,94963
N,95254
N,95533
N,95859
N,96141
N,96444
N,96848
N,97068
N,97353
N,97637
N,97916
N,98232
N,98439
N,98751
N,98949
N,99246
N,99536
N,99811
V,100029
N,100385
N,100593
N,100861
N,101090
N,101347
N,101570
N,101950
N,102318
N,102555
N,102835
N,103091
N,103412
N,103687
N,103907
N,104214
N,104430
N,104701
N,105013
N,105253
N,105523
N,105741
N,106028
N,106333
N,106601
N,106984
N,107318
N,107623
N,107916
N,108183
N,108411
"""",108913
+,109192
N,109340
N,109694
N,110009
A,110251
N,110615
N,110944
N,111262
N,111571
N,111878
N,112185
A,112457
N,112827
N,113129
N,113443
N,113749
N,114059
N,114352
N,114684
A,114965
N,115301
A,115592
N,115924
N,116211
N,116543
"""",116870
N,117120
N,117415
+,117599
N,117703
N,117998
N,118257
N,118533
N,118765
N,119063
N,119361
N,119657
N,119934
N,120168
N,120455
N,120730
N,120966
N,121277
N,121598
N,121850
N,122175
N,122485
N,122809
V,123010
N,123279
N,123624
N,123920
N,124143
N,124437
N,124743
N,124972
N,125273
N,125537
N,125858
N,126099
N,126341
N,126582
N,126808
N,127045
N,127351
N,127632
V,127844
N,128110
N,128378
N,128645
N,128884
N,129160
N,129498
N,129780
N,130067
