Annotation,Location
+,76
R,491
A,737
A,1000
R,1659
A,1903
A,2156
~,2550
R,2829
A,3066
R,3667
A,3909
R,4511
A,4751
R,5341
A,5584
A,5855
R,6482
A,6721
A,6982
A,7232
A,7493
A,7754
A,8003
A,8255
R,8941
R,9890
R,10295
A,10540
A,10796
R,11462
A,11704
A,11974
A,12237
A,12492
A,12747
A,13003
A,13264
A,13526
A,13792
A,14058
A,14318
R,15317
R,15727
A,15966
A,16225
R,16918
A,17162
A,17422
A,17684
R,18403
R,18892
A,19130
A,19391
A,19651
A,19905
A,20167
R,21128
R,21560
A,21805
A,22066
R,22726
A,22965
A,23230
R,23887
A,24126
A,24384
A,24640
R,25352
~,25657
R,26100
R,26810
A,27049
A,27306
A,27559
A,27821
A,28082
A,28337
A,28591
A,28851
A,29114
A,29374
R,30009
~,30155
A,30257
A,30519
A,30779
R,31294
A,31535
A,31794
~,32412
R,32478
A,32728
A,32993
A,33252
A,33511
A,33769
R,34305
A,34556
A,34825
R,35511
A,35750
A,36020
A,36284
R,36971
A,37211
A,37486
R,38193
A,38436
A,38701
A,38961
R,39667
A,39909
A,40167
R,40873
A,41125
A,41383
R,42068
A,42314
A,42577
R,43249
A,43496
A,43766
R,44441
A,44684
A,44945
A,45199
A,45460
A,45718
R,46394
A,46639
A,46908
A,47175
A,47439
A,47697
A,47955
A,48214
A,48476
A,48739
A,49007
R,49871
R,50368
A,50616
A,50880
A,51134
A,51398
R,52006
A,52261
A,52524
R,53180
A,53433
A,53692
R,54360
A,54605
A,54863
R,55550
A,55798
A,56062
R,56747
A,56991
A,57248
A,57506
A,57768
A,58027
R,58938
R,59455
A,59699
A,59959
R,60638
A,60891
A,61155
A,61419
A,61683
A,61943
R,62626
A,62872
R,63494
A,63732
R,64329
A,64574
R,65169
A,65413
A,65672
R,66323
A,66571
A,66827
R,67463
A,67709
A,67972
R,68610
A,68845
R,69441
A,69688
A,69944
R,70586
A,70829
A,71095
A,71354
R,72002
A,72245
R,72863
A,73095
A,73351
A,73604
A,73863
R,74516
R,75212
A,75456
A,75716
R,76388
A,76624
A,76888
R,77562
A,77800
A,78060
R,78727
A,78976
A,79240
A,79488
A,79740
A,79997
R,80691
A,80933
A,81192
~,81335
A,81446
A,81705
A,81971
A,82228
A,82496
A,82755
A,83018
A,83281
A,83548
A,83811
A,84079
A,84343
A,84601
R,85176
A,85427
A,85700
A,85962
A,86225
R,87235
~,87470
R,87709
A,87955
A,88223
A,88485
A,88746
A,88997
A,89260
A,89528
A,89790
R,90514
A,90767
A,91033
R,91731
A,91982
R,92610
A,92854
A,93122
A,93384
A,93646
R,94262
A,94514
A,94789
R,95482
A,95725
A,95988
A,96255
A,96523
A,96786
~,96933
R,97500
A,97749
R,98406
A,98653
A,98922
A,99180
~,99238
A,99449
~,99599
R,100074
A,100321
A,100583
~,101161
R,101262
A,101508
A,101768
A,102024
R,102981
R,103388
A,103636
A,103902
R,104595
A,104832
A,105095
R,105813
R,106335
A,106581
A,106840
A,107102
A,107369
A,107632
A,107895
A,108161
R,108842
R,109352
A,109596
A,109862
A,110122
A,110387
R,111069
A,111311
A,111577
A,111840
A,112108
A,112375
R,113376
R,113878
A,114122
R,114725
A,114962
A,115225
A,115486
A,115745
A,115999
A,116257
A,116517
A,116787
R,117455
A,117698
R,118330
A,118580
A,118849
R,119501
A,119744
A,120013
A,120266
A,120532
A,120790
R,121455
A,121702
A,121970
A,122229
~,122278
~,122389
A,122495
R,123090
A,123331
A,123590
A,123846
A,124104
R,124681
A,124923
A,125189
A,125443
A,125704
~,125861
R,126413
A,126661
A,126925
R,127625
R,128547
R,129047
A,129294
~,129431
A,129567
A,129830
A,130096
A,130352
A,130614
A,130880
R,131874
R,132336
A,132583
A,132850
A,133108
A,133367
R,133968
A,134217
~,134385
A,134488
R,135169
A,135413
A,135681
A,135950
A,136208
A,136466
~,136600
A,136725
R,137697
~,137954
R,138177
A,138420
A,138684
A,138950
A,139213
A,139475
A,139729
~,139864
~,140271
R,140311
A,140558
A,140827
A,141098
