Annotation,Location
+,14
~,24
N,99
N,431
N,660
N,862
N,1002
N,1270
N,1483
N,1719
N,1874
N,2102
V,2251
V,2368
N,2518
N,2659
N,2792
N,2933
N,3128
N,3333
N,3464
~,3584
N,3714
V,3853
N,3993
N,4236
V,4540
N,4722
N,4859
N,5082
N,5247
N,5434
N,5649
N,5794
N,6030
N,6200
N,6434
N,6711
N,6944
N,7279
N,7587
N,7750
N,7882
N,8154
N,8312
N,8541
N,8876
N,9114
N,9294
N,9432
N,9672
N,9951
N,10168
N,10497
N,10830
N,11081
N,11342
N,11653
N,11858
N,12018
N,12277
N,12526
N,12755
N,12991
N,13198
N,13540
N,13777
N,14015
N,14290
N,14589
N,14786
N,14926
N,15243
N,15435
N,15630
~,15847
N,15930
V,16069
N,16306
N,16599
+,16689
V,16726
V,16858
V,16976
+,17156
N,17274
V,17429
N,17651
~,17814
N,17922
N,18229
N,18434
N,18641
N,18911
N,19116
N,19259
N,19393
N,19742
V,19894
N,20101
N,20295
N,20454
N,20582
N,20709
N,20898
N,21033
N,21158
N,21279
N,21408
N,21706
V,21861
V,21974
N,22140
V,22258
N,22388
N,22514
N,22650
N,22768
N,22884
N,23263
V,23397
N,23641
V,23770
N,24074
N,24226
N,24362
N,24490
N,24725
N,24884
N,25002
N,25301
V,25441
N,25674
N,26001
N,26301
V,26449
V,26590
N,26820
N,26973
N,27217
N,27518
N,27828
V,27972
N,28218
N,28452
N,28637
N,28862
N,29025
N,29341
N,29519
N,29785
N,30062
N,30280
N,30591
V,30743
N,31009
N,31249
N,31578
N,31850
N,32009
N,32243
N,32516
N,32729
N,32985
+,33033
V,33132
V,33269
V,33405
+,33602
N,33764
V,33895
~,34176
N,34287
a,34440
N,34583
N,34723
N,34986
V,35139
V,35263
N,35533
a,35664
N,35792
N,35930
N,36079
N,36296
|,36496
N,36556
V,36678
|,36772
N,36920
N,37064
N,37296
~,37404
N,37542
N,37769
+,37837
V,37895
V,38000
V,38120
+,38291
N,38394
N,38635
N,38870
V,39002
V,39126
N,39272
N,39471
N,39655
N,39781
N,39925
N,40044
N,40260
N,40390
N,40704
V,40833
N,41243
V,41394
N,41660
N,41813
N,42128
N,42437
N,42659
N,42914
N,43053
N,43401
N,43555
N,43686
N,43842
N,43988
N,44224
N,44458
N,44625
N,44758
N,44885
N,45034
N,45153
N,45289
N,45567
V,45708
N,45996
V,46117
N,46336
N,46460
N,46733
V,46859
N,47062
N,47236
N,47348
N,47595
N,48028
V,48196
N,48402
N,48738
N,49061
V,49189
N,49420
N,49559
N,49689
N,49938
N,50121
N,50450
N,50745
N,51055
V,51187
N,51304
N,51430
N,51655
N,51907
N,52179
N,52486
N,52934
N,53170
N,53355
N,53748
N,54132
N,54330
N,54472
N,54746
N,54924
N,55141
N,55423
N,55672
N,55809
N,55978
N,56231
V,56370
V,56503
N,56843
V,57005
N,57269
N,57527
N,57798
N,58086
N,58345
N,58580
N,58817
N,59053
N,59365
N,59632
