Annotation,Location
~,83
+,229
N,351
N,724
N,1086
N,1448
N,1829
N,2197
N,2571
N,2918
N,3234
N,3571
N,3931
N,4281
N,4612
N,4947
N,5255
N,5558
N,5863
N,6174
N,6472
N,6757
N,7045
N,7336
N,7615
N,7897
N,8183
N,8475
N,8758
N,9025
N,9271
N,9517
N,9769
N,10038
N,10315
N,10583
N,10885
N,11244
N,11588
N,11935
N,12287
N,12649
N,13001
N,13319
N,13617
~,13754
N,13918
N,14227
N,14564
N,14903
N,15231
N,15561
N,15900
N,16245
N,16605
N,16998
N,17354
N,17701
N,18026
N,18333
N,18644
N,18964
N,19275
N,19579
N,19869
N,20136
N,20406
N,20690
N,20989
N,21300
N,21637
N,22008
N,22364
~,22494
N,22689
N,23016
N,23364
N,23719
N,24048
N,24362
N,24683
N,25010
N,25338
N,25697
N,26068
N,26434
N,26787
N,27138
N,27471
N,27810
N,28161
N,28500
N,28801
N,29105
N,29408
N,29712
N,30024
N,30334
N,30630
N,30920
N,31190
N,31462
N,31726
N,32014
N,32336
~,32450
N,32667
V,32867
V,33045
N,33476
V,33653
V,33820
N,34305
N,34666
V,34858
N,35280
V,35468
V,35638
N,36101
V,36290
N,36757
V,36951
V,37123
N,37581
N,37913
V,38092
V,38267
N,38755
V,38939
V,39118
N,39590
N,39903
V,40085
V,40255
N,40714
N,41033
V,41222
V,41395
N,41837
V,42003
N,42439
V,42625
V,42798
N,43275
V,43460
N,43906
V,44084
N,44507
V,44692
V,44867
N,45350
V,45547
N,45976
V,46156
V,46323
N,46777
V,46956
N,47413
V,47606
V,47780
N,48225
V,48413
V,48568
N,49009
V,49191
V,49374
N,49835
V,50022
N,50424
V,50607
V,50773
N,51212
V,51400
N,51850
V,52037
V,52211
N,52661
V,52836
N,53275
N,53578
N,53873
V,54074
V,54253
N,54716
V,54888
V,55063
N,55559
V,55747
N,56227
~,56376
N,56548
N,56842
N,57174
N,57495
V,57684
V,57875
N,58345
V,58534
N,58992
V,59170
V,59332
~,59595
N,59769
+,59861
V,59954
N,60432
V,60636
N,61082
V,61277
+,61503
N,61729
N,62099
N,62488
N,62823
N,63128
~,63389
N,63499
+,63624
V,63691
V,63864
V,64035
+,64349
N,64568
V,64766
N,65287
N,65705
N,66104
N,66485
N,66886
N,67302
N,67702
N,68094
N,68464
N,68869
N,69270
N,69635
~,69758
N,69964
N,70280
N,70618
N,70998
N,71407
N,71815
N,72193
N,72559
N,72945
N,73336
N,73730
N,74087
N,74408
N,74742
N,75138
N,75514
N,75907
N,76287
N,76670
N,77024
N,77400
N,77771
N,78156
N,78500
N,78856
N,79261
N,79650
N,80033
N,80374
N,80686
N,81019
N,81390
N,81804
N,82213
N,82585
N,82944
N,83307
N,83663
N,84034
N,84435
N,84836
N,85213
N,85600
N,86011
N,86380
N,86755
N,87132
N,87507
N,87888
N,88298
N,88711
N,89096
N,89430
N,89742
N,90057
N,90398
N,90777
N,91133
N,91454
N,91753
N,92046
N,92345
N,92658
N,93015
N,93393
N,93713
N,94034
N,94375
N,94716
N,95041
N,95380
N,95716
V,95905
N,96335
N,96662
N,97008
N,97330
N,97620
N,97909
N,98217
N,98513
N,98819
N,99134
N,99471
N,99807
N,100118
N,100442
N,100788
N,101148
N,101518
N,101883
N,102229
N,102559
N,102909
N,103301
N,103667
N,104041
N,104409
N,104778
N,105123
N,105503
N,105898
N,106288
N,106631
N,106977
N,107366
N,107775
N,108153
N,108537
N,108920
N,109289
N,109668
N,110064
N,110432
N,110787
N,111136
N,111470
N,111833
N,112226
N,112616
N,112955
N,113305
N,113672
N,114059
N,114403
N,114738
N,115082
N,115428
N,115764
N,116121
N,116532
