Annotation,Location
+,17
N,81
N,361
N,646
N,892
N,1193
N,1482
N,1778
N,2072
N,2335
N,2644
N,2939
N,3191
N,3520
N,3831
N,4109
N,4405
N,4690
N,4975
N,5235
N,5571
N,5892
N,6193
N,6483
N,6776
N,7031
N,7331
N,7609
N,7894
N,8200
N,8479
N,8762
N,9043
N,9294
N,9604
N,9916
N,10196
N,10515
N,10782
N,11072
N,11356
N,11641
N,11908
N,12240
N,12547
N,12820
N,13124
N,13405
N,13673
N,13961
N,14252
N,14551
N,14866
N,15137
N,15423
N,15708
N,15961
N,16274
N,16571
N,16859
N,17147
N,17414
N,17720
N,17996
N,18255
N,18574
N,18861
N,19154
N,19437
N,19712
N,20001
N,20282
N,20544
N,20878
N,21171
N,21458
N,21736
N,22043
N,22305
N,22585
N,22911
N,23203
N,23475
N,23786
N,24083
N,24348
N,24633
N,24921
N,25218
N,25536
N,25805
N,26126
N,26400
N,26681
N,26986
N,27280
N,27604
N,27894
N,28190
N,28457
N,28768
N,29048
N,29343
N,29664
N,29954
N,30230
N,30544
N,30825
N,31089
N,31398
N,31693
N,31981
N,32275
N,32568
N,32826
N,33127
N,33390
N,33699
N,33994
N,34291
N,34591
N,34898
N,35191
N,35484
N,35801
N,36122
N,36434
N,36743
N,37058
N,37319
N,37634
N,37959
N,38280
N,38603
N,38914
~,39144
N,39221
N,39524
N,39818
N,40139
~,40405
N,40464
N,40773
N,41039
N,41362
~,41595
N,41665
N,41943
~,42095
N,42269
N,42575
N,42862
N,43177
N,43468
N,43743
N,44045
N,44339
N,44640
N,44960
N,45239
N,45529
N,45830
N,46092
N,46375
N,46681
N,46978
N,47265
N,47549
N,47815
N,48099
N,48377
N,48646
N,48964
N,49237
N,49524
N,49808
N,50087
N,50388
N,50656
N,50959
N,51262
N,51565
N,51840
N,52157
N,52435
N,52706
N,53037
N,53330
N,53636
N,53924
N,54236
N,54498
N,54813
N,55108
N,55399
N,55723
N,56017
N,56316
N,56603
N,56903
N,57172
N,57480
N,57791
N,58094
N,58375
N,58685
N,58952
N,59246
N,59548
N,59854
N,60130
N,60448
N,60717
N,61027
N,61295
N,61592
N,61887
N,62192
N,62482
N,62794
N,63077
N,63359
N,63668
N,63957
N,64289
N,64599
N,64907
N,65206
N,65514
N,65817
N,66134
N,66424
N,66750
N,67058
N,67326
N,67648
N,67914
N,68220
N,68543
N,68843
N,69139
