Annotation,Location
+,28
N,220
N,442
V,603
N,924
N,1241
V,1430
N,1804
N,2064
N,2356
V,2520
N,2825
N,3064
N,3525
N,3798
N,4128
N,4489
N,4838
N,5092
N,5355
V,5537
N,5848
N,6099
N,6351
V,6512
N,6879
N,7215
N,7512
V,7689
N,8071
N,8301
N,8546
N,8816
N,9246
N,9514
N,9785
N,10103
N,10374
N,10641
V,10816
N,11125
N,11383
N,11679
V,11852
N,12147
N,12390
N,12742
N,13026
V,13205
N,13496
N,13737
N,13998
N,14244
N,14542
N,14802
V,14967
N,15334
N,15566
N,15834
N,16085
N,16538
N,16926
N,17197
N,17428
N,17682
N,17910
N,18205
N,18464
N,18758
N,19071
V,19266
N,19638
N,19868
N,20147
V,20294
N,20652
N,20911
N,21242
N,21489
N,21756
N,21979
N,22236
V,22399
N,22730
N,22992
N,23327
N,23765
N,24104
N,24360
N,24601
N,24879
N,25197
V,25381
N,25700
N,25948
N,26181
V,26342
N,26620
N,26868
N,27145
V,27311
N,27691
N,27957
N,28185
N,28413
V,28567
N,29058
N,29323
N,29630
N,29948
V,30121
N,30427
N,30660
N,30878
N,31123
N,31547
N,31793
N,32160
N,32435
V,32613
N,32991
N,33260
V,33431
N,33748
N,34011
N,34277
N,34519
V,34677
N,34968
N,35227
N,35670
N,35929
N,36200
V,36391
N,36768
N,37000
N,37242
V,37403
N,37849
N,38099
N,38422
N,38691
N,38941
N,39244
N,39559
V,39718
N,40016
N,40263
N,40506
V,40683
N,41018
N,41342
N,41566
N,41780
V,41951
N,42333
N,42653
V,42827
N,43127
N,43363
N,43589
N,43806
N,44042
N,44336
V,44509
N,44840
N,45112
V,45295
N,45617
N,45863
N,46152
V,46315
N,46634
N,46905
N,47146
N,47396
V,47560
N,47866
N,48132
V,48304
N,48568
N,48847
N,49155
V,49335
N,49625
N,49847
N,50067
V,50228
N,50566
N,51056
N,51377
V,51545
N,51842
N,52133
V,52302
N,52598
N,52870
N,53112
N,53458
N,53729
N,53981
N,54253
N,54619
N,54866
N,55103
V,55277
N,55621
N,55868
N,56143
N,56356
N,56648
N,56893
N,57350
N,57610
N,57841
V,58019
N,58342
N,58571
N,58809
V,58969
N,59261
N,59495
N,59775
N,60037
N,60456
N,60691
N,60938
V,61096
V,61411
N,61723
V,61896
N,62351
N,62637
V,62801
N,63125
N,63363
N,63592
N,63841
V,64012
N,64300
N,64538
N,64768
V,64925
N,65242
N,65468
N,65720
V,65890
N,66287
N,66742
N,67044
V,67207
N,67512
N,67760
N,68036
V,68212
N,68504
N,68983
N,69314
N,69557
N,70002
N,70324
N,70559
N,70893
N,71191
V,71358
N,71696
N,72012
N,72292
N,72577
V,72757
N,73108
N,73343
N,73594
V,73763
N,74090
