Annotation,Location
+,27
N,160
N,433
N,726
N,1061
N,1366
N,1651
N,1935
N,2223
N,2499
N,2793
N,3094
N,3402
N,3694
N,3986
N,4275
N,4542
N,4820
|,5006
N,5106
N,5442
|,5608
N,5783
|,6048
N,6085
+,6192
V,6299
N,6635
V,6823
N,7197
V,7415
N,7825
V,8026
N,8394
V,8582
N,8931
V,9130
N,9504
V,9710
N,10098
V,10306
N,10656
V,10844
N,11199
V,11392
N,11776
V,11992
+,12198
N,12404
N,12713
N,13012
N,13287
N,13574
N,13896
N,14237
N,14568
N,14897
N,15190
N,15465
N,15755
|,15804
|,15851
N,16103
|,16157
|,16309
|,16404
N,16478
N,16823
|,16997
|,17076
N,17113
N,17394
N,17680
N,17996
N,18362
V,18690
N,19125
N,19408
N,19694
V,19903
V,20157
N,20749
N,21122
N,21438
~,21556
N,21709
N,21998
N,22307
N,22627
~,22803
V,22860
N,23284
N,23602
N,23892
V,24076
N,24472
V,24678
N,25110
N,25421
N,25734
N,26021
N,26303
N,26585
N,26887
N,27224
N,27556
N,27890
N,28169
N,28451
N,28736
N,29035
N,29353
N,29658
V,29871
N,30246
N,30533
N,30828
N,31127
N,31432
N,31735
V,31940
N,32328
V,32511
N,32890
N,33181
N,33480
+,33580
V,33680
|,33948
N,34117
V,34334
|,34639
N,34721
V,34908
N,35291
V,35500
N,35937
V,36184
N,36598
|,36709
V,36805
N,37183
V,37416
N,37881
V,38144
N,38590
V,38801
N,39170
V,39371
N,39838
V,40109
|,40304
|,40353
N,40568
V,40807
+,41012
N,41218
N,41564
N,41998
N,42409
N,42762
N,43084
N,43389
N,43703
N,44076
N,44468
N,44807
N,45113
N,45416
N,45734
N,46055
N,46399
+,46520
V,46642
N,47068
V,47276
N,47648
V,47879
+,48067
N,48256
N,48568
N,48899
N,49220
N,49519
N,49790
N,50075
N,50374
N,50671
N,50995
N,51314
N,51615
N,51886
+,51985
V,52084
N,52480
V,52689
N,53114
V,53319
+,53521
N,53724
N,54009
N,54295
V,54520
N,54936
N,55260
N,55564
N,55876
N,56181
V,56387
N,56745
N,57027
N,57316
N,57606
V,57829
~,57996
N,58189
N,58457
N,58724
V,58927
N,59329
N,59661
N,59989
N,60280
N,60556
V,60747
N,61116
V,61337
N,61787
N,62126
N,62427
N,62705
N,62992
N,63300
N,63674
N,64004
N,64327
N,64635
|,64744
N,64925
N,65223
~,65403
N,65572
V,65866
N,66266
N,66600
N,66919
N,67214
N,67530
N,67871
~,68108
N,68231
N,68545
N,68863
N,69160
N,69445
~,69534
V,69655
N,70062
N,70411
N,70750
N,71059
N,71335
N,71612
N,71914
N,72210
V,72476
N,72875
N,73178
N,73457
N,73729
N,74030
N,74350
N,74704
V,74966
N,75348
N,75631
N,75911
N,76205
N,76541
N,76884
N,77211
N,77515
N,77814
V,78011
N,78389
V,78590
N,79001
N,79310
N,79613
V,79806
N,80151
N,80440
N,80724
N,81043
N,81390
N,81727
N,82008
N,82272
V,82467
N,82857
V,83078
N,83525
N,83868
N,84157
N,84427
N,84738
V,84968
N,85403
N,85715
N,86038
N,86316
N,86587
N,86881
N,87188
N,87530
N,87863
N,88224
N,88580
N,88884
N,89191
N,89525
N,89879
N,90222
V,90502
N,90927
N,91233
N,91543
N,91877
N,92234
N,92569
N,92897
N,93191
N,93486
N,93778
N,94087
N,94406
N,94706
N,94995
N,95280
N,95577
V,95796
N,96210
N,96517
N,96808
N,97094
N,97386
N,97677
N,97976
N,98298
N,98597
N,98898
N,99199
N,99491
~,99584
V,99698
N,100064
V,100306
N,100702
N,101018
N,101328
N,101607
~,101838
N,101884
N,102163
N,102470
N,102779
N,103096
N,103386
N,103663
N,103937
N,104223
N,104540
|,104773
N,104860
N,105162
N,105451
V,105654
N,106047
N,106354
N,106652
N,106978
N,107290
V,107485
N,107889
N,108179
N,108481
N,108771
N,109090
N,109411
V,109628
N,110002
V,110188
N,110568
N,110867
|,110940
N,111184
|,111361
|,111425
N,111525
N,111838
N,112133
N,112394
N,112678
N,113004
N,113312
N,113621
N,113920
N,114213
N,114476
N,114749
N,115063
N,115386
N,115701
N,115998
|,116187
N,116300
|,116378
N,116594
N,116872
N,117150
N,117457
N,117763
N,118053
V,118247
N,118652
N,118919
N,119182
N,119461
N,119786
|,119994
N,120093
N,120400
N,120677
N,120941
N,121210
N,121483
N,121784
N,122124
N,122441
N,122736
N,123018
N,123297
+,123399
V,123501
N,123880
V,124101
N,124494
V,124708
N,125078
V,125269
N,125629
V,125828
N,126214
V,126430
N,126849
V,127063
N,127428
V,127617
N,128000
V,128214
N,128744
V,128996
N,129411
V,129610
N,129984
V,130242
N,130826
V,131119
N,131547
V,131738
N,132103
V,132308
N,132760
V,133009
N,133499
V,133723
N,134138
V,134345
N,134760
V,134995
N,135490
V,135732
N,136139
V,136337
N,136725
V,136943
N,137355
V,137613
N,138087
V,138293
N,138664
V,138864
N,139263
V,139476
N,139929
V,140146
N,140519
V,140713
N,141113
V,141327
N,141746
V,141966
N,142382
V,142580
N,142952
V,143167
N,143583
V,143795
N,144195
V,144433
N,144831
V,145029
N,145406
V,145628
N,146029
V,146241
N,146669
V,146871
N,147235
V,147434
N,147841
V,148074
N,148457
V,148675
N,149063
V,149259
N,149629
V,149849
N,150245
V,150455
N,150867
V,151103
N,151501
V,151708
N,152103
V,152326
N,152743
V,152995
N,153410
V,153613
N,153979
V,154196
N,154638
V,154871
+,155077
N,155284
N,155591
N,155895
N,156192
N,156533
N,156888
V,157065
N,157507
N,157816
N,158133
N,158436
N,158757
V,158970
N,159388
V,159574
N,159975
N,160286
N,160590
N,160902
N,161207
V,161425
N,161842
N,162150
N,162445
N,162745
N,163046
V,163260
N,163686
N,163985
N,164270
N,164562
N,164871
N,165189
V,165395
N,165824
N,166119
N,166400
N,166696
N,167003
V,167209
N,167624
N,167935
N,168254
N,168542
N,168836
N,169130
V,169337
N,169736
N,170054
N,170376
N,170662
N,170948
N,171247
N,171576
N,171899
N,172217
N,172522
N,172824
N,173121
N,173441
N,173774
N,174110
N,174433
N,174757
+,174866
V,174976
N,175431
V,175644
N,176094
V,176315
N,176758
V,176970
N,177384
V,177623
N,178101
V,178373
N,178880
V,179107
N,179493
V,179702
N,180190
V,180433
N,180896
V,181116
N,181507
V,181705
N,182174
V,182443
N,182903
V,183132
N,183526
V,183716
N,184119
V,184357
N,184839
V,185054
N,185483
V,185699
N,186092
V,186293
N,186723
V,186971
N,187395
V,187614
N,188007
V,188200
+,188391
N,188582
N,188931
N,189310
N,189644
N,189945
N,190232
N,190517
N,190820
N,191168
N,191517
N,191826
N,192130
V,192322
