Annotation,Location
+,67
V,225
N,487
V,689
N,964
V,1147
N,1433
V,1610
N,1882
V,2072
N,2331
V,2506
N,2784
V,2989
N,3300
V,3484
+,3611
N,3738
N,3975
N,4201
N,4416
N,4646
N,4880
N,5134
N,5381
N,5605
N,5821
N,6087
V,6285
N,6547
V,6718
N,7076
V,7260
V,7455
N,7899
V,8074
N,8394
V,8577
V,8726
N,9170
V,9384
N,9710
N,9963
N,10197
N,10436
N,10673
N,10901
N,11132
N,11361
N,11617
N,11857
N,12159
V,12364
N,12721
V,12900
V,13052
N,13522
V,13733
N,14101
N,14360
+,14449
V,14538
N,14903
V,15085
N,15410
V,15595
+,15761
N,15928
N,16195
+,16290
V,16385
N,16695
V,16880
N,17164
V,17338
N,17666
V,17860
N,18199
V,18383
+,18540
N,18697
N,18939
+,19033
V,19128
N,19432
V,19606
N,19915
V,20099
N,20430
V,20641
N,20953
V,21120
N,21390
V,21574
N,21873
V,22057
+,22222
N,22388
N,22646
N,22880
N,23122
N,23347
N,23602
N,23857
N,24098
N,24341
N,24595
N,24824
N,25102
V,25313
N,25627
V,25795
V,25993
N,26387
+,26491
V,26595
N,26918
V,27109
N,27474
V,27652
N,28018
V,28203
N,28559
V,28747
N,29108
V,29311
+,29486
N,29662
N,29896
N,30123
+,30204
V,30286
N,30597
V,30788
N,31128
V,31323
N,31615
V,31793
N,32095
V,32286
N,32599
V,32770
+,32934
N,33099
N,33367
N,33637
N,33908
N,34159
N,34408
N,34660
N,34945
N,35234
N,35531
N,35884
+,35985
V,36087
N,36445
V,36629
N,36994
V,37184
N,37556
V,37789
N,38127
V,38319
N,38635
V,38810
N,39129
+,39210
V,39319
V,39484
V,39791
+,40109
N,40200
V,40377
N,40688
V,40889
N,41164
V,41355
N,41732
V,41928
+,42102
N,42277
N,42542
+,42636
V,42730
N,43032
V,43212
N,43516
V,43722
N,44063
V,44261
N,44569
V,44756
N,45060
V,45245
N,45569
V,45759
N,46085
V,46270
+,46439
N,46608
N,46835
+,46931
V,47027
N,47352
V,47544
N,47857
V,48043
+,48208
N,48374
N,48710
N,49016
N,49273
N,49553
N,49834
N,50112
N,50385
N,50660
N,50927
N,51197
N,51461
N,51707
N,51954
N,52200
N,52486
N,52784
N,53063
N,53300
N,53541
N,53789
N,54037
N,54289
N,54555
N,54823
N,55070
N,55329
N,55604
N,55845
N,56080
N,56321
N,56571
N,56820
N,57096
N,57375
N,57618
N,57857
N,58096
N,58352
N,58608
N,58878
N,59140
N,59399
N,59649
N,59905
N,60162
N,60402
N,60646
N,60883
N,61148
N,61436
N,61706
N,61947
N,62182
N,62424
N,62671
N,62920
N,63181
N,63444
V,63633
V,63859
N,64209
V,64395
V,64628
N,64936
+,65025
V,65114
N,65441
V,65638
N,65988
V,66173
N,66478
V,66647
N,66953
V,67155
N,67471
V,67668
N,67997
V,68191
N,68514
